months_as_customer,age,policy_state,policy_annual_premium,insured_sex,insured_education_level,insured_occupation,incident_type,incident_severity,authorities_contacted,incident_state,number_of_vehicles_involved,bodily_injuries,witnesses,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_year,fraud_reported
270,44,IL,1030.95,FEMALE,Associate,machine-op-inspct,Multi-vehicle Collision,Major Damage,Ambulance,NC,3,1,0,35900,7180,3590,25130,Audi,2007,Y
65,26,IN,1285.03,FEMALE,High School,craft-repair,Single Vehicle Collision,Minor Damage,Fire,VA,1,1,3,52200,5220,10440,36540,Honda,2011,N
475,57,OH,1216.56,MALE,Masters,adm-clerical,Single Vehicle Collision,Minor Damage,Police,SC,1,0,2,78000,6500,13000,58500,Suburu,2000,N
77,27,IN,966.26,FEMALE,High School,adm-clerical,Multi-vehicle Collision,Minor Damage,Ambulance,NY,3,0,0,67200,6720,6720,53760,Volkswagen,1995,N
256,43,OH,1203.17,FEMALE,MD,prof-specialty,Single Vehicle Collision,Total Loss,Fire,WV,1,0,0,63250,11500,5750,46000,Nissan,1997,N
229,37,IL,1212.12,FEMALE,MD,craft-repair,Multi-vehicle Collision,Major Damage,Other,WV,3,1,1,68760,11460,5730,51570,Ford,1995,N
110,28,OH,1573.93,MALE,College,other-service,Multi-vehicle Collision,Minor Damage,Police,NY,3,0,2,65040,10840,10840,43360,Suburu,2010,N
177,33,IL,1609.67,MALE,College,adm-clerical,Single Vehicle Collision,Major Damage,Ambulance,SC,1,1,3,82800,20700,13800,48300,Jeep,2004,Y
292,44,OH,1097.57,MALE,PhD,priv-house-serv,Single Vehicle Collision,Total Loss,Other,SC,1,1,0,61700,6170,6170,49360,Saab,2005,N
451,61,IN,1618.65,FEMALE,Associate,transport-moving,Multi-vehicle Collision,Major Damage,Ambulance,OH,3,2,1,78100,15620,7810,54670,Chevrolet,1997,Y
61,24,IN,922.67,FEMALE,College,priv-house-serv,Multi-vehicle Collision,Major Damage,Ambulance,SC,3,2,1,65520,9360,9360,46800,Toyota,2011,Y
150,30,IN,1342.02,MALE,MD,prof-specialty,Parked Car,Trivial Damage,None,VA,1,0,2,4500,450,450,3600,Saab,1999,N
283,41,OH,1195.01,FEMALE,Associate,sales,Multi-vehicle Collision,Major Damage,Other,WV,3,0,2,42700,0,6100,36600,Mercedes,2011,Y
291,46,OH,994.74,FEMALE,High School,adm-clerical,Parked Car,Minor Damage,Police,SC,1,2,2,5580,620,620,4340,Volkswagen,2005,Y
162,31,IN,1050.24,FEMALE,Masters,adm-clerical,Parked Car,Minor Damage,None,NC,1,0,0,3600,360,720,2520,BMW,2013,Y
154,36,IL,1313.51,FEMALE,Masters,exec-managerial,Vehicle Theft,Trivial Damage,None,SC,1,2,0,2800,280,280,2240,Volkswagen,2015,N
289,47,OH,1102.29,FEMALE,Associate,adm-clerical,Single Vehicle Collision,Minor Damage,Ambulance,VA,1,1,0,54000,6000,6000,42000,Toyota,1996,N
10,19,IN,1185.78,FEMALE,JD,craft-repair,Single Vehicle Collision,Minor Damage,Police,NC,1,0,2,48950,4450,8900,35600,Accura,2011,Y
309,47,IL,1527.95,MALE,PhD,exec-managerial,Multi-vehicle Collision,Major Damage,Other,WV,4,0,1,77800,15560,15560,46680,Dodge,2002,N
396,57,IN,1366.39,MALE,High School,protective-serv,Multi-vehicle Collision,Major Damage,Other,NC,3,2,1,52560,11680,5840,35040,Saab,1995,N
273,41,OH,1403.9,FEMALE,PhD,farming-fishing,Multi-vehicle Collision,Total Loss,Police,VA,2,1,2,44110,4010,8020,32080,Honda,2015,N
129,30,IL,927.23,FEMALE,PhD,sales,Single Vehicle Collision,Total Loss,Other,SC,1,1,3,74360,13520,6760,54080,Suburu,2009,N
140,31,OH,1554.86,FEMALE,JD,armed-forces,Parked Car,Minor Damage,None,WV,1,1,2,6120,680,680,4760,Honda,2002,Y
419,53,IL,736.07,MALE,College,transport-moving,Multi-vehicle Collision,Minor Damage,Police,SC,4,0,0,62280,5190,10380,46710,Suburu,2012,N
315,44,IL,974.16,FEMALE,Masters,sales,Multi-vehicle Collision,Total Loss,Other,NY,3,1,0,26730,4860,4860,17010,Volkswagen,2006,N
72,29,OH,973.8,FEMALE,Associate,craft-repair,Single Vehicle Collision,Major Damage,Ambulance,WV,1,1,0,66200,6620,6620,52960,Dodge,2013,N
32,26,OH,1260.32,MALE,JD,other-service,Single Vehicle Collision,Total Loss,Fire,VA,1,1,2,45500,9100,4550,31850,Toyota,2009,N
230,41,IN,1464.03,MALE,JD,transport-moving,Multi-vehicle Collision,Minor Damage,Ambulance,NY,3,2,0,53040,4420,4420,44200,Audi,2006,N
157,32,OH,617.11,MALE,College,other-service,Multi-vehicle Collision,Major Damage,Other,VA,3,1,2,50800,10160,5080,35560,Mercedes,2013,Y
265,41,IN,1724.46,FEMALE,Associate,craft-repair,Multi-vehicle Collision,Total Loss,Police,SC,3,1,3,44200,4420,4420,35360,Audi,2014,N
47,34,IL,1161.31,FEMALE,PhD,exec-managerial,Single Vehicle Collision,Minor Damage,Police,SC,1,1,3,62920,11440,5720,45760,Chevrolet,2012,N
113,29,OH,1091.73,MALE,PhD,exec-managerial,Multi-vehicle Collision,Minor Damage,Other,NY,3,0,2,49950,5550,5550,38850,Nissan,2004,Y
289,46,IL,1209.07,MALE,JD,armed-forces,Single Vehicle Collision,Minor Damage,Ambulance,NC,1,0,1,56430,6270,6270,43890,BMW,1995,Y
254,41,IL,1241.04,FEMALE,Masters,protective-serv,Single Vehicle Collision,Minor Damage,Police,NY,1,2,2,100210,18220,18220,63770,Audi,2014,N
115,30,OH,1757.21,MALE,High School,prof-specialty,Multi-vehicle Collision,Minor Damage,Fire,NY,3,1,0,49140,5460,5460,38220,Ford,2007,N
236,38,OH,802.24,FEMALE,College,other-service,Single Vehicle Collision,Major Damage,Ambulance,WV,1,0,1,66840,16710,5570,44560,Mercedes,2014,N
7,21,IN,1342.72,MALE,Associate,machine-op-inspct,Single Vehicle Collision,Total Loss,Other,NY,1,1,2,62460,6940,6940,48580,Honda,2003,N
208,36,OH,1209.41,MALE,JD,machine-op-inspct,Multi-vehicle Collision,Total Loss,Other,NY,3,0,1,62810,11420,11420,39970,Nissan,1999,N
126,33,OH,1141.71,FEMALE,JD,priv-house-serv,Single Vehicle Collision,Major Damage,Ambulance,WV,1,1,2,54160,6770,6770,40620,Suburu,2009,N
48,35,IL,1090.03,FEMALE,JD,exec-managerial,Single Vehicle Collision,Major Damage,Ambulance,WV,1,0,2,48400,9680,4840,33880,Saab,2005,N
297,48,IN,1464.73,MALE,PhD,exec-managerial,Multi-vehicle Collision,Total Loss,Fire,NY,3,0,0,51480,5720,5720,40040,Toyota,2013,N
160,36,OH,1118.58,FEMALE,High School,prof-specialty,Multi-vehicle Collision,Total Loss,Fire,NY,3,2,1,51700,5170,10340,36190,Saab,2003,N
406,58,OH,1117.04,MALE,MD,exec-managerial,Multi-vehicle Collision,Total Loss,Other,WV,3,1,2,65520,10920,5460,49140,Volkswagen,2009,N
157,31,IN,1257.83,MALE,High School,farming-fishing,Multi-vehicle Collision,Major Damage,Other,OH,4,2,2,47700,4770,9540,33390,Accura,2011,Y
146,31,OH,1082.72,FEMALE,PhD,machine-op-inspct,Vehicle Theft,Minor Damage,None,SC,1,2,0,5220,580,580,4060,Accura,2015,N
409,57,IN,1191.8,MALE,High School,protective-serv,Single Vehicle Collision,Major Damage,Other,NY,1,1,0,73320,6110,12220,54990,Ford,2012,N
252,46,IN,1242.02,MALE,Masters,adm-clerical,Single Vehicle Collision,Minor Damage,Fire,VA,1,0,2,74900,14980,7490,52430,Jeep,2003,N
6,27,OH,1075.71,FEMALE,High School,prof-specialty,Vehicle Theft,Trivial Damage,Police,WV,1,0,1,3190,580,290,2320,Saab,2015,N
103,33,IN,969.88,MALE,MD,armed-forces,Single Vehicle Collision,Minor Damage,Ambulance,NY,1,1,0,76920,12820,6410,57690,Chevrolet,2002,N
369,53,OH,1459.93,FEMALE,Masters,priv-house-serv,Multi-vehicle Collision,Total Loss,Police,WV,2,1,3,77990,7090,14180,56720,Jeep,2012,N
261,46,IL,1245.61,MALE,MD,transport-moving,Single Vehicle Collision,Total Loss,Fire,NY,1,1,0,59670,9180,9180,41310,Ford,2008,N
159,33,IN,1462.76,FEMALE,College,craft-repair,Multi-vehicle Collision,Major Damage,Ambulance,NY,3,2,0,44880,8160,4080,32640,Mercedes,2004,Y
344,51,IN,1398.46,MALE,Associate,sales,Single Vehicle Collision,Minor Damage,Ambulance,NC,1,0,2,82830,7530,15060,60240,Audi,2004,N
437,60,OH,1269.64,FEMALE,College,armed-forces,Single Vehicle Collision,Minor Damage,Other,SC,1,1,3,84480,7680,15360,61440,Chevrolet,2012,Y
65,30,IN,1455.65,FEMALE,College,transport-moving,Multi-vehicle Collision,Total Loss,Fire,WV,3,2,3,79800,15960,7980,55860,Honda,1999,N
280,41,OH,1140.31,MALE,MD,adm-clerical,Multi-vehicle Collision,Minor Damage,Police,WV,3,0,3,53020,9640,9640,33740,Toyota,1999,N
269,45,IN,1330.46,FEMALE,High School,machine-op-inspct,Multi-vehicle Collision,Total Loss,Police,VA,3,0,0,24200,2200,4400,17600,Suburu,2008,N
275,40,OH,1190.6,MALE,Masters,exec-managerial,Single Vehicle Collision,Minor Damage,Fire,OH,1,1,3,43230,7860,7860,27510,Chevrolet,2001,N
265,45,OH,972.5,FEMALE,College,exec-managerial,Vehicle Theft,Trivial Damage,None,NC,1,2,3,3190,290,580,2320,Ford,1995,N
283,43,IN,1161.91,FEMALE,Associate,adm-clerical,Parked Car,Minor Damage,None,WV,1,0,3,5850,1300,650,3900,BMW,2006,N
84,29,OH,1117.17,FEMALE,High School,machine-op-inspct,Parked Car,Trivial Damage,Police,SC,1,2,0,6820,620,1240,4960,BMW,2005,N
247,44,OH,1101.51,FEMALE,College,farming-fishing,Multi-vehicle Collision,Minor Damage,Fire,NY,3,2,2,69480,11580,11580,46320,Chevrolet,2008,N
56,29,IL,1523.17,MALE,Masters,prof-specialty,Multi-vehicle Collision,Major Damage,Fire,PA,3,1,2,94560,7880,15760,70920,Jeep,1995,N
210,39,OH,984.45,MALE,Associate,armed-forces,Vehicle Theft,Minor Damage,None,NC,1,1,2,7800,780,780,6240,Dodge,1997,N
108,32,OH,1257,FEMALE,High School,machine-op-inspct,Single Vehicle Collision,Total Loss,Other,WV,1,1,3,61270,5570,11140,44560,Suburu,1999,N
328,49,OH,1434.51,FEMALE,Masters,transport-moving,Single Vehicle Collision,Total Loss,Police,NY,1,0,2,71440,8930,8930,53580,Mercedes,2005,N
186,37,OH,1628,FEMALE,JD,priv-house-serv,Single Vehicle Collision,Total Loss,Ambulance,NY,1,1,2,55600,11120,5560,38920,Jeep,2009,N
277,44,IN,1412.31,MALE,High School,priv-house-serv,Vehicle Theft,Trivial Damage,Police,NC,1,1,3,5000,1000,500,3500,Jeep,2005,N
138,33,IL,1362.87,FEMALE,JD,exec-managerial,Single Vehicle Collision,Minor Damage,Other,NY,1,2,0,95810,14740,14740,66330,BMW,2007,N
208,41,IN,1134.68,FEMALE,College,tech-support,Single Vehicle Collision,Major Damage,Ambulance,SC,1,2,2,69300,6930,13860,48510,Volkswagen,1996,N
147,37,IN,1306.78,MALE,MD,prof-specialty,Single Vehicle Collision,Total Loss,Ambulance,SC,1,1,0,81120,13520,20280,47320,Toyota,1995,N
8,21,IN,1021.9,MALE,High School,handlers-cleaners,Single Vehicle Collision,Major Damage,Other,WV,1,0,0,91260,14040,14040,63180,Toyota,2012,N
297,48,IN,1538.6,FEMALE,MD,other-service,Single Vehicle Collision,Minor Damage,Fire,SC,1,0,0,60600,6060,12120,42420,Ford,2004,N
150,31,IN,1354.5,MALE,Masters,machine-op-inspct,Multi-vehicle Collision,Major Damage,Ambulance,NY,3,0,3,64800,6480,12960,45360,Suburu,2000,Y
4,34,OH,1282.93,FEMALE,College,exec-managerial,Multi-vehicle Collision,Major Damage,Police,WV,4,0,0,66880,6080,12160,48640,Chevrolet,1996,Y
210,35,IL,1346.27,MALE,Masters,farming-fishing,Single Vehicle Collision,Total Loss,Ambulance,WV,1,0,2,58200,5820,5820,46560,BMW,2013,N
91,31,IN,1338.4,FEMALE,High School,priv-house-serv,Single Vehicle Collision,Minor Damage,Police,NC,1,1,0,60570,6730,6730,47110,Nissan,2011,N
167,36,IL,949.44,FEMALE,Masters,exec-managerial,Multi-vehicle Collision,Major Damage,Ambulance,NC,3,0,0,69680,8710,8710,52260,Mercedes,2008,Y
467,58,IN,977.4,MALE,Masters,transport-moving,Single Vehicle Collision,Total Loss,Fire,NY,1,2,3,55700,5570,11140,38990,Nissan,2014,N
264,47,IN,1181.46,FEMALE,JD,transport-moving,Multi-vehicle Collision,Total Loss,Ambulance,OH,4,1,2,62370,5670,5670,51030,Dodge,2001,N
270,45,OH,1187.53,FEMALE,PhD,priv-house-serv,Multi-vehicle Collision,Total Loss,Other,VA,3,0,0,54340,9880,0,44460,Saab,2005,N
310,48,OH,845.16,FEMALE,Masters,priv-house-serv,Single Vehicle Collision,Major Damage,Police,NC,1,1,0,55170,6130,6130,42910,Audi,2005,Y
143,34,IL,1442.27,MALE,College,priv-house-serv,Single Vehicle Collision,Minor Damage,Other,NY,1,2,3,58500,11700,5850,40950,Dodge,1999,N
146,32,OH,1276.43,MALE,Associate,priv-house-serv,Single Vehicle Collision,Major Damage,Fire,NC,1,0,3,59940,6660,6660,46620,Honda,1995,N
102,28,OH,1075.41,MALE,MD,machine-op-inspct,Single Vehicle Collision,Total Loss,Police,PA,1,1,0,73400,7340,7340,58720,Dodge,1996,N
61,23,IL,1111.72,MALE,JD,exec-managerial,Single Vehicle Collision,Major Damage,Fire,PA,1,1,2,41850,4650,4650,32550,Suburu,1997,N
255,44,OH,814.96,FEMALE,PhD,priv-house-serv,Parked Car,Trivial Damage,Police,NC,1,2,2,6400,640,1280,4480,Mercedes,2005,Y
211,40,IL,1575.86,FEMALE,PhD,other-service,Vehicle Theft,Trivial Damage,Police,WV,1,1,1,3190,580,290,2320,Audi,2004,N
61,29,IN,1115.27,MALE,JD,handlers-cleaners,Parked Car,Trivial Damage,None,VA,1,2,1,5900,590,590,4720,Nissan,2010,N
108,31,IN,1175.7,MALE,Masters,protective-serv,Single Vehicle Collision,Total Loss,Fire,NY,1,0,2,57330,6370,6370,44590,Dodge,2006,N
303,50,OH,793.15,MALE,MD,tech-support,Multi-vehicle Collision,Total Loss,Other,WV,3,0,3,81960,13660,13660,54640,Dodge,2008,N
152,33,IN,942.51,FEMALE,PhD,transport-moving,Single Vehicle Collision,Major Damage,Fire,SC,1,0,0,70400,6400,19200,44800,Suburu,2001,Y
120,34,IN,1056.71,FEMALE,JD,protective-serv,Parked Car,Minor Damage,None,VA,1,2,1,3770,580,580,2610,Jeep,2002,N
144,36,IN,1255.68,FEMALE,Associate,sales,Parked Car,Minor Damage,None,NC,1,0,0,7400,740,1480,5180,Dodge,2014,N
414,52,IN,1335.13,FEMALE,High School,farming-fishing,Single Vehicle Collision,Total Loss,Police,SC,1,1,1,54810,6090,6090,42630,Chevrolet,1999,Y
163,37,IN,1178.95,FEMALE,JD,priv-house-serv,Single Vehicle Collision,Total Loss,Fire,NY,1,2,3,49400,4940,9880,34580,Jeep,2005,N
352,53,IL,1793.16,MALE,Associate,tech-support,Single Vehicle Collision,Minor Damage,Fire,NC,1,2,2,68750,12500,6250,50000,Chevrolet,2009,N
27,32,OH,1008.38,FEMALE,PhD,adm-clerical,Single Vehicle Collision,Total Loss,Ambulance,SC,1,1,0,61500,12300,6150,43050,Dodge,2013,N
239,39,IL,1396.83,FEMALE,Masters,other-service,Multi-vehicle Collision,Major Damage,Ambulance,WV,4,0,3,76890,6990,13980,55920,BMW,2007,N
33,32,OH,1402.78,FEMALE,PhD,other-service,Single Vehicle Collision,Minor Damage,Ambulance,NY,1,0,1,56070,6230,12460,37380,Toyota,2012,N
88,30,IN,1437.88,FEMALE,College,transport-moving,Single Vehicle Collision,Total Loss,Fire,SC,1,2,0,56000,14000,0,42000,Chevrolet,2003,N
101,33,IL,1313.64,FEMALE,College,priv-house-serv,Parked Car,Trivial Damage,None,NY,1,1,0,4290,780,390,3120,Audi,1997,N
20,37,IL,1482.14,FEMALE,Associate,transport-moving,Multi-vehicle Collision,Total Loss,Other,NY,3,2,1,60750,6750,6750,47250,Suburu,2003,N
126,30,IL,1171.75,FEMALE,Associate,machine-op-inspct,Single Vehicle Collision,Minor Damage,Other,NY,1,2,3,48730,4430,4430,39870,Chevrolet,2011,N
264,43,IL,1353.33,MALE,Associate,adm-clerical,Multi-vehicle Collision,Minor Damage,Police,WV,3,2,0,95150,17300,17300,60550,Ford,2007,N
78,24,IN,1175.51,MALE,Masters,craft-repair,Vehicle Theft,Minor Damage,Police,NY,1,0,1,7480,680,680,6120,Dodge,2003,N
123,28,IL,1836.02,MALE,Masters,transport-moving,Single Vehicle Collision,Major Damage,Ambulance,NC,1,2,1,79800,13300,6650,59850,Volkswagen,2011,Y
347,51,OH,1480.79,FEMALE,MD,priv-house-serv,Single Vehicle Collision,Total Loss,Other,NC,1,0,2,103560,8630,17260,77670,Jeep,1997,N
163,38,IN,1453.92,FEMALE,PhD,other-service,Single Vehicle Collision,Minor Damage,Ambulance,NY,1,2,3,79500,15900,7950,55650,Accura,1995,N
271,44,OH,1340.71,FEMALE,High School,tech-support,Single Vehicle Collision,Minor Damage,Other,SC,1,2,2,76230,6930,13860,55440,Volkswagen,1997,Y
410,54,IL,714.03,MALE,MD,protective-serv,Single Vehicle Collision,Minor Damage,Ambulance,WV,1,0,2,59520,9920,9920,39680,Honda,2001,N
448,57,IL,1376.16,FEMALE,PhD,tech-support,Multi-vehicle Collision,Major Damage,Police,SC,3,2,1,47760,5970,5970,35820,Suburu,2013,Y
218,41,IL,914.22,MALE,JD,prof-specialty,Multi-vehicle Collision,Total Loss,Police,NY,3,2,0,84590,15380,7690,61520,Saab,2013,N
43,38,OH,1601.47,MALE,PhD,handlers-cleaners,Multi-vehicle Collision,Total Loss,Other,SC,3,2,2,61650,6850,6850,47950,Nissan,2006,N
33,33,IL,1096.79,FEMALE,Associate,handlers-cleaners,Single Vehicle Collision,Major Damage,Police,VA,1,2,1,81400,8140,8140,65120,BMW,1998,N
126,34,IN,1078.22,FEMALE,Masters,transport-moving,Multi-vehicle Collision,Major Damage,Fire,SC,3,0,1,58410,10620,5310,42480,Chevrolet,2007,N
411,56,IL,1595.28,FEMALE,College,protective-serv,Multi-vehicle Collision,Major Damage,Ambulance,VA,3,0,0,38610,3510,3510,31590,Volkswagen,2007,N
225,37,OH,1217.84,FEMALE,High School,farming-fishing,Multi-vehicle Collision,Minor Damage,Fire,WV,3,2,2,57600,9600,9600,38400,Volkswagen,2015,N
35,35,IL,1117.42,FEMALE,PhD,protective-serv,Multi-vehicle Collision,Minor Damage,Fire,NC,3,2,2,53190,5910,11820,35460,Volkswagen,1996,N
460,57,OH,1567.37,FEMALE,JD,craft-repair,Single Vehicle Collision,Major Damage,Other,NY,1,2,3,58300,5830,11660,40810,Nissan,2014,Y
195,38,IL,1294.93,MALE,MD,tech-support,Multi-vehicle Collision,Minor Damage,Ambulance,WV,3,1,2,64620,7180,0,57440,Dodge,2003,N
360,51,IL,1152.12,MALE,PhD,armed-forces,Multi-vehicle Collision,Total Loss,Ambulance,WV,3,2,0,90480,15080,15080,60320,BMW,2000,N
300,49,IL,1441.21,FEMALE,PhD,farming-fishing,Vehicle Theft,Trivial Damage,None,SC,1,1,0,7080,1180,1180,4720,Nissan,2001,N
245,42,IL,1575.74,MALE,JD,exec-managerial,Parked Car,Minor Damage,Police,PA,1,2,2,6490,590,1180,4720,Toyota,2011,Y
146,36,OH,1233.96,FEMALE,Masters,other-service,Multi-vehicle Collision,Total Loss,Police,NC,3,1,1,55900,5590,5590,44720,Nissan,2015,N
67,29,IL,1861.43,MALE,High School,adm-clerical,Single Vehicle Collision,Major Damage,Other,SC,1,0,3,63800,6380,6380,51040,Saab,1998,Y
380,56,OH,1570.86,MALE,MD,farming-fishing,Single Vehicle Collision,Total Loss,Police,VA,1,0,1,58160,7270,7270,43620,Saab,1996,Y
389,53,IL,791.47,MALE,Masters,armed-forces,Vehicle Theft,Minor Damage,Police,NC,1,1,2,6300,630,1260,4410,Mercedes,2001,Y
317,46,IN,1012.78,MALE,MD,sales,Single Vehicle Collision,Major Damage,Fire,WV,1,2,1,104610,19020,19020,66570,Mercedes,1999,Y
264,44,IL,1047.06,MALE,College,exec-managerial,Multi-vehicle Collision,Major Damage,Fire,SC,3,0,2,69850,12700,6350,50800,Ford,1999,N
20,21,OH,1390.29,FEMALE,Masters,priv-house-serv,Single Vehicle Collision,Minor Damage,Fire,PA,1,0,0,62900,12580,6290,44030,Accura,2006,N
116,30,IN,951.46,MALE,JD,handlers-cleaners,Multi-vehicle Collision,Major Damage,Other,WV,3,0,3,59670,6630,6630,46410,Volkswagen,2004,Y
222,40,IL,1226.78,MALE,JD,armed-forces,Multi-vehicle Collision,Minor Damage,Other,NY,2,2,0,81500,16300,8150,57050,BMW,2013,N
439,56,OH,1280.9,MALE,High School,armed-forces,Single Vehicle Collision,Minor Damage,Ambulance,NC,1,2,0,50000,15000,5000,30000,Jeep,2009,N
66,28,IN,1472.77,MALE,Associate,adm-clerical,Single Vehicle Collision,Total Loss,Other,NY,1,2,1,48290,8780,8780,30730,Nissan,1995,N
128,29,OH,1878.44,MALE,High School,other-service,Single Vehicle Collision,Total Loss,Fire,VA,1,0,0,59070,5370,5370,48330,Chevrolet,2003,N
69,24,IN,1418.5,FEMALE,High School,armed-forces,Multi-vehicle Collision,Minor Damage,Police,NY,3,0,0,63300,12660,6330,44310,Dodge,2012,N
294,46,IL,1532.8,MALE,College,prof-specialty,Single Vehicle Collision,Total Loss,Other,SC,1,0,3,65780,11960,11960,41860,Mercedes,2013,N
19,29,OH,1304.35,MALE,JD,transport-moving,Multi-vehicle Collision,Total Loss,Ambulance,NY,3,0,2,75400,11600,11600,52200,Dodge,2005,Y
191,33,OH,1551.61,MALE,High School,armed-forces,Vehicle Theft,Minor Damage,None,WV,1,1,1,2250,250,250,1750,Toyota,2005,N
4,39,IL,1326.98,FEMALE,High School,machine-op-inspct,Multi-vehicle Collision,Minor Damage,Ambulance,VA,3,1,3,54120,4510,9020,40590,Jeep,2007,N
298,49,OH,862.92,MALE,MD,machine-op-inspct,Multi-vehicle Collision,Major Damage,Other,NY,3,0,2,69480,11580,11580,46320,Saab,2007,N
231,43,IN,1331.69,FEMALE,Masters,adm-clerical,Single Vehicle Collision,Minor Damage,Police,NY,1,1,2,66950,10300,10300,46350,Chevrolet,2015,N
338,47,OH,1486.04,FEMALE,Associate,armed-forces,Multi-vehicle Collision,Major Damage,Other,OH,3,2,3,64100,12820,6410,44870,Dodge,2014,Y
261,46,IN,870.55,MALE,PhD,prof-specialty,Single Vehicle Collision,Minor Damage,Other,SC,1,0,3,80280,13380,13380,53520,Chevrolet,2013,N
321,44,IL,1344.56,MALE,Associate,machine-op-inspct,Vehicle Theft,Trivial Damage,Police,NY,1,1,2,4680,520,0,4160,Accura,1999,N
0,32,OH,1377.04,MALE,College,tech-support,Multi-vehicle Collision,Minor Damage,Ambulance,NY,4,1,1,39720,6620,6620,26480,Accura,2002,N
405,58,IL,1237.88,MALE,MD,exec-managerial,Single Vehicle Collision,Major Damage,Police,NY,1,0,0,63580,5780,5780,52020,Mercedes,1997,Y
304,49,IN,1525.86,FEMALE,PhD,craft-repair,Single Vehicle Collision,Minor Damage,Other,NC,1,1,1,73370,13340,6670,53360,Saab,2013,N
1,29,OH,854.58,FEMALE,JD,craft-repair,Single Vehicle Collision,Minor Damage,Police,SC,1,2,3,86790,7890,23670,55230,Honda,2003,N
26,39,IN,770.76,MALE,Masters,tech-support,Single Vehicle Collision,Major Damage,Police,WV,1,0,2,49800,9960,4980,34860,Mercedes,2015,N
202,38,IL,1132.74,FEMALE,Associate,armed-forces,Single Vehicle Collision,Major Damage,Other,WV,1,1,1,77440,7040,14080,56320,Nissan,2005,N
289,48,IL,1173.37,FEMALE,PhD,handlers-cleaners,Single Vehicle Collision,Total Loss,Other,SC,1,1,0,42900,8580,0,34320,Accura,1999,N
61,26,OH,1188.28,FEMALE,JD,farming-fishing,Multi-vehicle Collision,Major Damage,Fire,VA,2,1,0,53820,11960,5980,35880,Ford,2015,Y
334,46,IL,876.88,MALE,MD,sales,Single Vehicle Collision,Minor Damage,Police,WV,1,2,1,57330,12740,6370,38220,Jeep,1998,N
12,24,IL,1143.95,FEMALE,PhD,tech-support,Multi-vehicle Collision,Minor Damage,Police,NY,3,2,1,53370,5930,5930,41510,Nissan,2011,N
86,29,IL,1409.06,MALE,High School,prof-specialty,Single Vehicle Collision,Minor Damage,Police,NY,1,2,2,62920,9680,14520,38720,Accura,2005,N
83,24,IN,1070.63,FEMALE,High School,machine-op-inspct,Multi-vehicle Collision,Total Loss,Fire,NY,3,0,1,61600,6160,12320,43120,Honda,2003,N
126,30,IL,916.13,MALE,College,sales,Multi-vehicle Collision,Total Loss,Police,NY,3,2,0,74160,6180,12360,55620,Mercedes,2002,N
209,38,OH,1191.5,MALE,High School,priv-house-serv,Single Vehicle Collision,Total Loss,Police,WV,1,2,0,80100,8900,8900,62300,Audi,2015,N
283,48,OH,1474.66,FEMALE,JD,sales,Parked Car,Trivial Damage,Police,NY,1,2,3,6560,820,820,4920,Volkswagen,2003,N
194,34,IL,1193.45,MALE,JD,other-service,Single Vehicle Collision,Total Loss,Ambulance,WV,1,2,1,58800,11760,5880,41160,Nissan,1997,N
184,38,IL,1437.53,FEMALE,College,transport-moving,Multi-vehicle Collision,Minor Damage,Ambulance,PA,3,0,2,53730,11940,5970,35820,Dodge,2013,Y
479,60,IL,1304.83,FEMALE,College,other-service,Single Vehicle Collision,Total Loss,Ambulance,NY,1,0,0,60600,5050,10100,45450,Honda,2001,N
284,48,OH,1168.8,FEMALE,JD,tech-support,Single Vehicle Collision,Total Loss,Other,NY,1,0,3,35750,6500,3250,26000,Mercedes,2001,N
65,27,IN,1164.97,FEMALE,College,adm-clerical,Single Vehicle Collision,Total Loss,Ambulance,WV,1,1,2,42840,3570,7140,32130,Chevrolet,2004,N
222,39,IL,1232.72,MALE,High School,armed-forces,Multi-vehicle Collision,Major Damage,Fire,SC,3,1,0,87960,14660,14660,58640,Jeep,1999,Y
196,41,IL,1800.76,MALE,JD,protective-serv,Multi-vehicle Collision,Minor Damage,Ambulance,SC,3,1,0,47800,4780,4780,38240,Jeep,2009,N
253,43,IL,1187.01,FEMALE,Associate,tech-support,Vehicle Theft,Trivial Damage,Police,NY,1,0,1,3840,640,640,2560,Chevrolet,2014,N
280,43,IN,1559.34,MALE,JD,transport-moving,Single Vehicle Collision,Total Loss,Fire,NY,1,0,2,77000,14000,7000,56000,Accura,2004,N
5,26,IL,1137.02,FEMALE,PhD,farming-fishing,Single Vehicle Collision,Total Loss,Ambulance,WV,1,1,3,88110,16020,16020,56070,Audi,2003,N
220,42,IN,1281.72,MALE,College,farming-fishing,Multi-vehicle Collision,Minor Damage,Fire,SC,4,0,2,47740,4340,4340,39060,Honda,2005,N
85,30,OH,796.35,FEMALE,MD,craft-repair,Multi-vehicle Collision,Total Loss,Fire,SC,3,2,1,58960,5360,10720,42880,Ford,2004,N
266,46,OH,1270.02,FEMALE,Associate,tech-support,Parked Car,Minor Damage,Police,NC,1,1,2,2160,480,240,1440,Toyota,2004,N
41,26,IL,1383.13,FEMALE,JD,prof-specialty,Vehicle Theft,Trivial Damage,Police,SC,1,1,1,6890,530,1060,5300,Jeep,1997,N
